Date,Time,open,high,low,close,volume,spread
2024.07.31,04:00:00,1.0822,1.08268,1.08116,1.0818,7864,1
2024.07.31,08:00:00,1.08181,1.08402,1.08065,1.08282,8205,1
2024.07.31,12:00:00,1.08279,1.08493,1.08173,1.08231,11407,1
2024.07.31,16:00:00,1.08227,1.08328,1.08018,1.08228,10829,1
2024.07.31,20:00:00,1.08225,1.08308,1.0817,1.08238,2474,1
2024.08.01,00:00:00,1.08236,1.08345,1.08233,1.08328,5822,1
2024.08.01,04:00:00,1.08328,1.08352,1.0799,1.0801,7023,1
2024.08.01,08:00:00,1.0801,1.08021,1.07773,1.07918,8720,1
2024.08.01,12:00:00,1.07919,1.08181,1.07836,1.07886,13040,1
2024.08.01,16:00:00,1.07888,1.07967,1.07801,1.07897,8745,1
2024.08.01,20:00:00,1.07896,1.07929,1.07854,1.07864,3426,1
2024.08.02,00:00:00,1.07862,1.07951,1.07816,1.0793,5503,1
2024.08.02,04:00:00,1.07931,1.08087,1.07861,1.08038,8366,1
2024.08.02,08:00:00,1.08038,1.08373,1.08032,1.08312,9526,1
2024.08.02,12:00:00,1.08312,1.09265,1.08293,1.09132,16227,1
2024.08.02,16:00:00,1.09132,1.09166,1.09033,1.09128,9837,1
2024.08.02,20:00:00,1.09129,1.09149,1.09079,1.09102,1375,1
2024.08.04,20:00:00,1.09221,1.09232,1.09029,1.09104,3906,1
2024.08.05,00:00:00,1.09105,1.09312,1.09068,1.09306,10116,1
2024.08.05,04:00:00,1.09306,1.09669,1.08925,1.09488,16253,1
2024.08.05,08:00:00,1.09489,1.09749,1.0933,1.09628,14898,1
2024.08.05,12:00:00,1.09629,1.10084,1.0956,1.09562,18758,1
2024.08.05,16:00:00,1.09561,1.09643,1.09473,1.09588,12247,1
2024.08.05,20:00:00,1.09586,1.09621,1.09395,1.09505,4860,1
2024.08.06,00:00:00,1.09507,1.0963,1.09437,1.09541,9347,1
2024.08.06,04:00:00,1.09541,1.09558,1.09219,1.09268,11549,1
2024.08.06,08:00:00,1.09268,1.09349,1.09036,1.09167,12076,1
2024.08.06,12:00:00,1.09166,1.09348,1.09045,1.09251,13983,1
2024.08.06,16:00:00,1.09252,1.09335,1.09207,1.09298,9219,1
2024.08.06,20:00:00,1.09298,1.09318,1.09223,1.09259,4019,1
2024.08.07,00:00:00,1.09258,1.09303,1.0911,1.09159,7798,1
2024.08.07,04:00:00,1.09159,1.09278,1.09054,1.09223,8992,1
2024.08.07,08:00:00,1.09222,1.09278,1.09085,1.09232,9632,1
2024.08.07,12:00:00,1.09233,1.09366,1.09125,1.09246,10538,1
2024.08.07,16:00:00,1.09246,1.0927,1.09173,1.09232,9322,1
2024.08.07,20:00:00,1.09232,1.09338,1.09148,1.09272,3738,1
2024.08.08,00:00:00,1.09272,1.09354,1.09235,1.0935,6780,1
2024.08.08,04:00:00,1.0935,1.0945,1.09298,1.09398,8342,1
2024.08.08,08:00:00,1.09398,1.09443,1.09203,1.09307,7692,1
2024.08.08,12:00:00,1.09304,1.09324,1.08813,1.0913,12313,1
2024.08.08,16:00:00,1.0913,1.09187,1.0905,1.0916,7057,1
2024.08.08,20:00:00,1.0916,1.09194,1.09097,1.0915,2340,1
2024.08.09,00:00:00,1.09145,1.09245,1.09115,1.09228,4707,1
2024.08.09,04:00:00,1.09228,1.09291,1.09174,1.09219,6041,1
